거래ID,선적일,구분,사업부,거래처,국가,품목,금액_USD,통화,인코텀즈,결제조건,결제예정일,결제상태,연체일수
TRD-25191,2025-06-03,수출,전력플랜트,Rotterdam AgriTrade,네덜란드,몰드변압기,240400,USD,FOB,L/C Usance 90,2025-09-15,완료,0
TRD-25192,2025-12-27,수출,식량자원,Lagos Agro Ltd,나이지리아,옥수수,52100,USD,FOB,L/C Usance 90,2026-04-10,완료,0
TRD-25193,2025-12-04,삼국간,전력플랜트,PT Nusantara Logam,인도네시아,개폐기,64000,USD,CFR,L/C at sight,2025-12-18,완료,0
TRD-25194,2026-06-04,수출,식량자원,Hamburg Stahl GmbH,독일,옥수수,400700,USD,FOB,T/T 60,2026-08-17,예정,0
TRD-25195,2026-05-06,삼국간,철강강관,Houston Energy LLC,미국,송유관,180200,USD,CFR,L/C at sight,2026-05-20,완료,0
TRD-25196,2026-01-24,수출,철강판재,Nagoya Parts Co,일본,아연도금강판,338600,USD,FOB,L/C Usance 90,2026-05-08,완료,0
TRD-25197,2025-11-08,수출,그린에너지,Gulf Petro Chem,사우디,태양광모듈,270900,USD,FOB,T/T 60,2026-01-21,완료,0
TRD-25198,2026-01-22,삼국간,그린에너지,Al-Rashid Trading,UAE,태양광모듈,175700,USD,CIF,L/C Usance 60,2026-04-06,완료,0
TRD-25199,2025-06-10,수출,물류솔루션,Mumbai Metal Corp,인도,복합운송,123200,USD,CIF,T/T 60,2025-08-23,완료,0
TRD-25200,2025-07-31,수출,물류솔루션,Mumbai Metal Corp,인도,복합운송,37300,USD,FOB,T/T 60,2025-10-13,완료,0
TRD-25201,2025-02-16,수출,차량소재,Cairo Grid Co,이집트,차체부품,146400,USD,CFR,T/T 60,2025-05-01,완료,0
TRD-25202,2025-01-23,수출,화학에너지,Hamburg Stahl GmbH,독일,납사,162200,USD,CFR,T/T 30,2025-03-08,완료,0
TRD-25203,2026-05-12,삼국간,그린에너지,Cairo Grid Co,이집트,ESS배터리,105700,USD,DAP,T/T 60,2026-07-25,예정,0
TRD-25204,2026-06-24,수출,전력플랜트,Qingdao Chem Group,중국,몰드변압기,125600,USD,DAP,L/C Usance 60,2026-09-06,예정,0
TRD-25205,2025-10-08,수입,식량자원,Hamburg Stahl GmbH,독일,대두,463500,USD,CIF,T/T 60,2025-12-21,완료,0
TRD-25206,2025-01-21,수출,전력플랜트,Al-Rashid Trading,UAE,개폐기,463300,USD,DAP,T/T 60,2025-04-05,완료,0
TRD-25207,2025-02-17,수출,철강강관,Viet Thanh Steel,베트남,송유관,352200,USD,CIF,L/C Usance 90,2025-06-01,완료,0
TRD-25208,2025-03-03,수입,차량소재,Dallas Solar Inc,미국,샤시모듈,56600,USD,DAP,L/C Usance 90,2025-06-15,완료,0
TRD-25209,2025-04-24,수출,화학에너지,Chennai Trans Co,인도,윤활기유,236300,USD,CIF,L/C at sight,2025-05-08,완료,0
TRD-25210,2025-07-25,수입,물류솔루션,Hamburg Stahl GmbH,독일,해상운송,282400,USD,FOB,L/C Usance 90,2025-11-06,완료,0
TRD-25211,2025-05-02,수입,그린에너지,Rotterdam AgriTrade,네덜란드,인버터,159300,USD,CFR,L/C Usance 60,2025-07-15,완료,0
TRD-25212,2025-11-16,수출,물류솔루션,Nagoya Parts Co,일본,복합운송,47600,USD,CFR,L/C Usance 60,2026-01-29,완료,0
TRD-25213,2025-08-21,수입,철강판재,Hanoi AutoParts,베트남,아연도금강판,262000,USD,FOB,L/C Usance 90,2025-12-03,완료,0
TRD-25214,2025-08-15,수출,물류솔루션,Gulf Petro Chem,사우디,복합운송,302900,USD,CIF,T/T 30,2025-09-28,완료,0
TRD-25215,2025-07-25,수입,물류솔루션,Nagoya Parts Co,일본,해상운송,210700,USD,FOB,L/C at sight,2025-08-08,완료,0
TRD-25216,2026-03-29,수출,식량자원,Lagos Agro Ltd,나이지리아,옥수수,95000,USD,CFR,T/T 60,2026-06-11,완료,0
TRD-25217,2026-03-03,수출,식량자원,Osaka Trading KK,일본,밀,195900,USD,FOB,T/T 30,2026-04-16,완료,0
TRD-25218,2026-04-27,수입,그린에너지,PT Nusantara Logam,인도네시아,인버터,163100,USD,CIF,L/C at sight,2026-05-11,완료,0
TRD-25219,2026-01-23,수출,그린에너지,Hamburg Stahl GmbH,독일,ESS배터리,83200,USD,CIF,T/T 60,2026-04-07,완료,0
TRD-25220,2025-05-14,수출,화학에너지,Siam Power Ltd,태국,납사,383700,USD,DAP,L/C Usance 60,2025-07-27,완료,0
TRD-25221,2025-12-02,수출,철강판재,PT Nusantara Logam,인도네시아,냉연강판,459900,USD,FOB,L/C Usance 90,2026-03-16,완료,0
TRD-25222,2025-07-25,수출,그린에너지,Osaka Trading KK,일본,인버터,161200,USD,FOB,T/T 60,2025-10-07,완료,0
TRD-25223,2026-06-26,수출,식량자원,PT Nusantara Logam,인도네시아,밀,145800,USD,CFR,T/T 30,2026-08-09,예정,0
TRD-25224,2025-02-27,삼국간,전력플랜트,Nagoya Parts Co,일본,몰드변압기,130800,USD,DAP,L/C Usance 90,2025-06-11,완료,0
TRD-25225,2025-07-12,삼국간,차량소재,Siam Power Ltd,태국,차체부품,121100,USD,DAP,L/C Usance 60,2025-09-24,완료,0
TRD-25226,2025-07-21,수출,화학에너지,Emirates Steel Est.,UAE,PVC레진,173400,USD,DAP,L/C at sight,2025-08-04,완료,0
TRD-25227,2026-01-28,삼국간,화학에너지,Siam Power Ltd,태국,윤활기유,159700,USD,FOB,L/C Usance 90,2026-05-12,완료,0
TRD-25228,2026-03-09,수출,식량자원,Hanoi AutoParts,베트남,밀,217600,USD,DAP,L/C Usance 60,2026-05-22,완료,0
TRD-25229,2025-11-23,수출,차량소재,Lagos Agro Ltd,나이지리아,차체부품,203800,USD,CFR,L/C Usance 60,2026-02-05,완료,0
TRD-25230,2026-05-15,수입,철강강관,Viet Thanh Steel,베트남,구조용강관,26200,USD,FOB,T/T 30,2026-06-28,완료,0
TRD-25231,2025-04-04,수입,그린에너지,Siam Power Ltd,태국,ESS배터리,256800,USD,CFR,T/T 30,2025-05-18,완료,0
TRD-25232,2025-12-02,수입,차량소재,Hanoi AutoParts,베트남,차체부품,157700,USD,CIF,T/T 60,2026-02-14,완료,0
TRD-25233,2025-05-15,수출,화학에너지,Hamburg Stahl GmbH,독일,윤활기유,118300,USD,DAP,L/C Usance 60,2025-07-28,연체,62
TRD-25234,2025-07-13,삼국간,전력플랜트,Shanghai Bright Intl,중국,배전변압기,368900,USD,DAP,T/T 30,2025-08-26,완료,0
TRD-25235,2026-06-28,수출,철강강관,Dallas Solar Inc,미국,송유관,365900,USD,FOB,L/C Usance 90,2026-10-10,예정,0
TRD-25236,2025-12-30,수출,전력플랜트,Osaka Trading KK,일본,몰드변압기,88900,USD,DAP,L/C at sight,2026-01-13,완료,0
TRD-25237,2025-09-02,수출,전력플랜트,Hamburg Stahl GmbH,독일,배전변압기,93500,USD,DAP,L/C Usance 90,2025-12-15,완료,0
TRD-25238,2025-09-14,수입,차량소재,Emirates Steel Est.,UAE,전장부품,78300,USD,DAP,L/C at sight,2025-09-28,완료,0
TRD-25239,2026-02-08,수출,철강판재,Dallas Solar Inc,미국,열연코일,47700,USD,CFR,T/T 60,2026-04-23,완료,0
TRD-25240,2025-11-07,수입,전력플랜트,Hanoi AutoParts,베트남,몰드변압기,809700,USD,DAP,L/C at sight,2025-11-21,완료,0
TRD-25241,2025-02-18,삼국간,물류솔루션,Dallas Solar Inc,미국,복합운송,327200,USD,CIF,T/T 60,2025-05-03,완료,0
TRD-25242,2025-02-20,삼국간,물류솔루션,Dallas Solar Inc,미국,해상운송,315500,USD,FOB,L/C at sight,2025-03-06,완료,0
TRD-25243,2025-02-18,수입,식량자원,Nagoya Parts Co,일본,옥수수,100600,USD,CFR,T/T 60,2025-05-03,완료,0
TRD-25244,2026-05-25,수입,철강판재,Rotterdam AgriTrade,네덜란드,열연코일,50400,USD,DAP,L/C at sight,2026-06-08,완료,0
TRD-25245,2026-06-04,수출,차량소재,PT Nusantara Logam,인도네시아,차체부품,304400,USD,CIF,T/T 60,2026-08-17,예정,0
TRD-25246,2025-04-25,수출,차량소재,Houston Energy LLC,미국,차체부품,59100,USD,CFR,L/C Usance 60,2025-07-08,연체,46
TRD-25247,2026-04-26,수입,화학에너지,Nagoya Parts Co,일본,납사,278700,USD,CFR,L/C Usance 60,2026-07-09,예정,0
TRD-25248,2026-03-22,삼국간,차량소재,Osaka Trading KK,일본,샤시모듈,1614400,USD,CIF,L/C at sight,2026-04-05,완료,0
TRD-25249,2025-06-08,수출,식량자원,Gulf Petro Chem,사우디,대두,54900,USD,CFR,T/T 60,2025-08-21,완료,0
TRD-25250,2025-05-14,수출,철강강관,Gulf Petro Chem,사우디,송유관,113000,USD,DAP,L/C at sight,2025-05-28,완료,0
TRD-25251,2025-06-08,수입,차량소재,Siam Power Ltd,태국,전장부품,388700,USD,FOB,L/C at sight,2025-06-22,완료,0
TRD-25252,2025-05-13,삼국간,차량소재,Bangkok Grain House,태국,샤시모듈,70400,USD,CIF,L/C Usance 60,2025-07-26,완료,0
TRD-25253,2025-05-27,수출,물류솔루션,Emirates Steel Est.,UAE,복합운송,103700,USD,FOB,L/C Usance 90,2025-09-08,완료,0
TRD-25254,2026-05-11,수출,철강강관,Dallas Solar Inc,미국,구조용강관,207800,USD,CIF,L/C at sight,2026-05-25,완료,0
TRD-25255,2026-05-16,삼국간,식량자원,Shanghai Bright Intl,중국,밀,17900,USD,DAP,L/C Usance 60,2026-07-29,예정,0
TRD-25256,2025-10-02,삼국간,철강판재,Shanghai Bright Intl,중국,아연도금강판,393500,USD,FOB,L/C Usance 60,2025-12-15,완료,0
TRD-25257,2026-06-26,수출,그린에너지,Osaka Trading KK,일본,태양광모듈,1066600,USD,CFR,L/C at sight,2026-07-10,예정,0
TRD-25258,2025-05-01,수출,화학에너지,Osaka Trading KK,일본,PVC레진,321500,USD,DAP,T/T 60,2025-07-14,완료,0
TRD-25259,2025-11-01,수입,철강판재,Rotterdam AgriTrade,네덜란드,열연코일,1385400,USD,FOB,T/T 60,2026-01-14,완료,0
TRD-25260,2026-01-25,수출,식량자원,Emirates Steel Est.,UAE,옥수수,425300,USD,FOB,L/C at sight,2026-02-08,완료,0
TRD-25261,2025-06-12,수출,물류솔루션,Al-Rashid Trading,UAE,해상운송,125700,USD,FOB,L/C Usance 60,2025-08-25,연체,71
TRD-25262,2025-08-03,수출,철강판재,Qingdao Chem Group,중국,열연코일,193400,USD,CIF,T/T 60,2025-10-16,완료,0
TRD-25263,2026-03-08,수출,물류솔루션,Rotterdam AgriTrade,네덜란드,해상운송,339600,USD,FOB,L/C Usance 60,2026-05-21,완료,0
TRD-25264,2025-04-13,수출,전력플랜트,Nagoya Parts Co,일본,몰드변압기,79000,USD,CFR,T/T 30,2025-05-27,완료,0
TRD-25265,2025-04-10,수출,식량자원,Bangkok Grain House,태국,대두,134700,USD,FOB,L/C at sight,2025-04-24,연체,20
TRD-25266,2026-02-15,수입,철강판재,Hanoi AutoParts,베트남,열연코일,88000,USD,DAP,L/C at sight,2026-03-01,완료,0
TRD-25267,2025-05-18,수출,화학에너지,Shanghai Bright Intl,중국,PVC레진,508300,USD,FOB,L/C Usance 60,2025-07-31,연체,40
TRD-25268,2025-01-20,수출,차량소재,Houston Energy LLC,미국,차체부품,353000,USD,CFR,L/C Usance 90,2025-05-04,완료,0
TRD-25269,2026-04-11,수입,물류솔루션,Emirates Steel Est.,UAE,해상운송,349400,USD,CIF,L/C Usance 90,2026-07-24,예정,0
TRD-25270,2025-11-16,수출,그린에너지,Bangkok Grain House,태국,인버터,225400,USD,CFR,L/C at sight,2025-11-30,완료,0
TRD-25271,2025-04-25,수출,전력플랜트,Cairo Grid Co,이집트,배전변압기,23800,USD,DAP,L/C Usance 60,2025-07-08,연체,37
TRD-25272,2026-01-11,삼국간,식량자원,PT Nusantara Logam,인도네시아,옥수수,256900,USD,DAP,L/C at sight,2026-01-25,완료,0
TRD-25273,2025-12-16,수입,차량소재,Hamburg Stahl GmbH,독일,전장부품,212700,USD,DAP,T/T 30,2026-01-29,완료,0
TRD-25274,2025-08-17,수출,물류솔루션,Hamburg Stahl GmbH,독일,복합운송,415300,USD,DAP,T/T 60,2025-10-30,완료,0
TRD-25275,2026-02-21,수입,차량소재,Viet Thanh Steel,베트남,차체부품,81200,USD,DAP,L/C Usance 90,2026-06-05,완료,0
TRD-25276,2026-03-30,수출,철강강관,Hanoi AutoParts,베트남,구조용강관,146200,USD,CFR,L/C Usance 90,2026-07-12,예정,0
TRD-25277,2026-03-03,수입,그린에너지,Mumbai Metal Corp,인도,태양광모듈,50200,USD,CFR,L/C at sight,2026-03-17,완료,0
TRD-25278,2026-02-02,수출,차량소재,Hamburg Stahl GmbH,독일,전장부품,93200,USD,DAP,T/T 30,2026-03-18,완료,0
TRD-25279,2025-02-15,수출,철강강관,Siam Power Ltd,태국,송유관,48700,USD,FOB,L/C at sight,2025-03-01,완료,0
TRD-25280,2025-02-17,삼국간,그린에너지,Shanghai Bright Intl,중국,인버터,202300,USD,CFR,T/T 60,2025-05-02,완료,0
TRD-25281,2026-03-28,수입,화학에너지,Rotterdam AgriTrade,네덜란드,PVC레진,598400,USD,DAP,L/C Usance 60,2026-06-10,완료,0
TRD-25282,2025-01-23,삼국간,철강판재,Bangkok Grain House,태국,아연도금강판,208600,USD,FOB,L/C at sight,2025-02-06,완료,0
TRD-25283,2025-02-01,수출,그린에너지,Mumbai Metal Corp,인도,ESS배터리,75700,USD,CIF,T/T 60,2025-04-16,완료,0
TRD-25284,2025-03-20,수출,식량자원,Nagoya Parts Co,일본,대두,223200,USD,CIF,L/C Usance 60,2025-06-02,완료,0
TRD-25285,2025-02-01,수입,그린에너지,Al-Rashid Trading,UAE,인버터,1849000,USD,CIF,L/C Usance 60,2025-04-16,완료,0
TRD-25286,2026-06-27,수출,식량자원,Chennai Trans Co,인도,옥수수,191600,USD,DAP,T/T 60,2026-09-09,예정,0
TRD-25287,2025-06-21,수입,차량소재,Hanoi AutoParts,베트남,차체부품,203900,USD,CFR,L/C Usance 60,2025-09-03,완료,0
TRD-25288,2026-06-12,수입,철강강관,Cairo Grid Co,이집트,구조용강관,592200,USD,CFR,L/C Usance 60,2026-08-25,예정,0
TRD-25289,2025-09-27,삼국간,철강판재,Gulf Petro Chem,사우디,아연도금강판,300200,USD,CFR,L/C Usance 60,2025-12-10,완료,0
TRD-25290,2026-06-27,수입,식량자원,Houston Energy LLC,미국,옥수수,529700,USD,FOB,L/C Usance 60,2026-09-09,예정,0
TRD-25291,2025-04-10,수출,그린에너지,Cairo Grid Co,이집트,태양광모듈,317000,USD,CIF,L/C at sight,2025-04-24,완료,0
TRD-25292,2025-04-28,수입,그린에너지,Rotterdam AgriTrade,네덜란드,태양광모듈,76700,USD,CIF,T/T 60,2025-07-11,완료,0
TRD-25293,2025-08-31,수출,화학에너지,Emirates Steel Est.,UAE,윤활기유,145900,USD,FOB,T/T 30,2025-10-14,완료,0
TRD-25294,2025-06-17,삼국간,철강판재,Hanoi AutoParts,베트남,냉연강판,252700,USD,CFR,L/C Usance 60,2025-08-30,완료,0
TRD-25295,2025-05-31,수출,전력플랜트,PT Nusantara Logam,인도네시아,개폐기,114700,USD,CIF,T/T 30,2025-07-14,완료,0
TRD-25296,2025-09-28,수출,철강강관,Gulf Petro Chem,사우디,송유관,134600,USD,DAP,L/C at sight,2025-10-12,완료,0
TRD-25297,2025-09-13,수출,그린에너지,Gulf Petro Chem,사우디,태양광모듈,195100,USD,CFR,L/C at sight,2025-09-27,완료,0
TRD-25298,2026-04-13,수출,차량소재,Siam Power Ltd,태국,차체부품,104600,USD,FOB,L/C Usance 60,2026-06-26,완료,0
TRD-25299,2026-06-20,수출,그린에너지,Al-Rashid Trading,UAE,태양광모듈,150500,USD,DAP,T/T 60,2026-09-02,예정,0
TRD-25300,2026-02-04,수출,식량자원,Nagoya Parts Co,일본,밀,422900,USD,CFR,L/C at sight,2026-02-18,완료,0
TRD-25301,2026-04-22,수출,차량소재,Rotterdam AgriTrade,네덜란드,샤시모듈,166700,USD,CIF,L/C Usance 60,2026-07-05,예정,0
TRD-25302,2026-02-05,수출,철강강관,Al-Rashid Trading,UAE,송유관,329200,USD,DAP,L/C Usance 60,2026-04-20,연체,7
TRD-25303,2025-04-25,수출,차량소재,Viet Thanh Steel,베트남,샤시모듈,47900,USD,CIF,L/C Usance 60,2025-07-08,연체,45
TRD-25304,2025-05-20,삼국간,차량소재,Rotterdam AgriTrade,네덜란드,차체부품,332500,USD,DAP,L/C Usance 60,2025-08-02,완료,0
TRD-25305,2026-01-24,수출,그린에너지,Houston Energy LLC,미국,인버터,150000,USD,FOB,L/C Usance 60,2026-04-08,연체,29
TRD-25306,2026-05-14,수출,물류솔루션,Siam Power Ltd,태국,복합운송,68500,USD,FOB,L/C at sight,2026-05-28,완료,0
TRD-25307,2025-09-08,수입,식량자원,Houston Energy LLC,미국,옥수수,245000,USD,CFR,T/T 60,2025-11-21,완료,0
TRD-25308,2025-12-10,수출,화학에너지,Mumbai Metal Corp,인도,PVC레진,552400,USD,CFR,T/T 30,2026-01-23,완료,0
TRD-25309,2026-03-11,수출,차량소재,Chennai Trans Co,인도,전장부품,197700,USD,DAP,L/C at sight,2026-03-25,완료,0
TRD-25310,2026-01-26,수출,전력플랜트,Mumbai Metal Corp,인도,배전변압기,361100,USD,CIF,L/C Usance 90,2026-05-10,완료,0
TRD-25311,2025-02-02,수출,차량소재,PT Nusantara Logam,인도네시아,전장부품,148800,USD,CIF,T/T 30,2025-03-18,완료,0
TRD-25312,2026-03-29,수출,식량자원,Bangkok Grain House,태국,밀,149000,USD,DAP,T/T 60,2026-06-11,완료,0
TRD-25313,2025-07-16,수출,화학에너지,Osaka Trading KK,일본,윤활기유,167800,USD,CIF,L/C Usance 60,2025-09-28,완료,0
TRD-25314,2026-04-04,삼국간,식량자원,Houston Energy LLC,미국,밀,245800,USD,DAP,L/C Usance 90,2026-07-17,예정,0
TRD-25315,2025-02-10,수입,물류솔루션,Cairo Grid Co,이집트,복합운송,143200,USD,FOB,L/C Usance 60,2025-04-25,완료,0
TRD-25316,2025-08-30,수출,철강강관,Cairo Grid Co,이집트,구조용강관,69900,USD,CIF,T/T 30,2025-10-13,완료,0
TRD-25317,2025-04-12,수출,화학에너지,Nagoya Parts Co,일본,PVC레진,1268600,USD,FOB,T/T 60,2025-06-25,완료,0
TRD-25318,2026-05-29,수출,철강판재,Osaka Trading KK,일본,아연도금강판,42200,USD,DAP,T/T 30,2026-07-12,예정,0
TRD-25319,2025-11-23,수입,식량자원,Osaka Trading KK,일본,대두,249600,USD,CIF,T/T 60,2026-02-05,완료,0
TRD-25320,2025-09-01,수입,차량소재,Houston Energy LLC,미국,전장부품,231500,USD,CIF,L/C at sight,2025-09-15,완료,0
TRD-25321,2026-04-02,수출,물류솔루션,Qingdao Chem Group,중국,복합운송,187300,USD,CFR,T/T 60,2026-06-15,완료,0
TRD-25322,2026-05-24,수입,철강강관,Mumbai Metal Corp,인도,구조용강관,58800,USD,DAP,L/C Usance 90,2026-09-05,예정,0
TRD-25323,2026-06-22,수출,전력플랜트,Nagoya Parts Co,일본,몰드변압기,82400,USD,CIF,T/T 30,2026-08-05,예정,0
TRD-25324,2026-04-11,수출,식량자원,Hanoi AutoParts,베트남,옥수수,96200,USD,FOB,T/T 60,2026-06-24,완료,0
TRD-25325,2026-03-11,수입,물류솔루션,Chennai Trans Co,인도,해상운송,298900,USD,FOB,T/T 30,2026-04-24,완료,0
TRD-25326,2025-02-25,수출,식량자원,Siam Power Ltd,태국,밀,103800,USD,FOB,L/C at sight,2025-03-11,완료,0
TRD-25327,2025-01-05,수출,철강강관,PT Nusantara Logam,인도네시아,송유관,136200,USD,CIF,T/T 30,2025-02-18,완료,0
TRD-25328,2026-06-27,수입,전력플랜트,Dallas Solar Inc,미국,배전변압기,156200,USD,CFR,T/T 30,2026-08-10,예정,0
TRD-25329,2026-05-05,수출,전력플랜트,PT Nusantara Logam,인도네시아,몰드변압기,307700,USD,CFR,T/T 60,2026-07-18,예정,0
TRD-25330,2026-06-25,수출,철강강관,Chennai Trans Co,인도,송유관,42600,USD,FOB,T/T 30,2026-08-08,예정,0
TRD-25331,2025-04-24,수출,화학에너지,Bangkok Grain House,태국,PVC레진,518600,USD,DAP,L/C at sight,2025-05-08,완료,0
TRD-25332,2025-12-30,수출,물류솔루션,Shanghai Bright Intl,중국,복합운송,240100,USD,DAP,L/C Usance 60,2026-03-14,완료,0
TRD-25333,2025-08-03,수출,차량소재,Shanghai Bright Intl,중국,샤시모듈,61900,USD,FOB,L/C Usance 60,2025-10-16,연체,40
TRD-25334,2025-11-14,수출,차량소재,Viet Thanh Steel,베트남,차체부품,130000,USD,CIF,L/C Usance 60,2026-01-27,완료,0
TRD-25335,2025-11-02,수출,철강강관,Bangkok Grain House,태국,송유관,217300,USD,DAP,T/T 60,2026-01-15,완료,0
TRD-25336,2026-01-25,수출,차량소재,Lagos Agro Ltd,나이지리아,샤시모듈,124200,USD,CIF,T/T 60,2026-04-09,완료,0
TRD-25337,2026-06-23,수출,차량소재,PT Nusantara Logam,인도네시아,전장부품,126000,USD,FOB,T/T 60,2026-09-05,예정,0
TRD-25338,2026-05-04,수출,물류솔루션,Viet Thanh Steel,베트남,해상운송,239600,USD,FOB,L/C at sight,2026-05-18,완료,0
TRD-25339,2025-09-18,수입,그린에너지,Houston Energy LLC,미국,ESS배터리,765100,USD,CFR,L/C at sight,2025-10-02,완료,0
TRD-25340,2025-11-04,수출,물류솔루션,Osaka Trading KK,일본,복합운송,85900,USD,FOB,T/T 30,2025-12-18,완료,0
TRD-25341,2026-01-15,수출,그린에너지,Rotterdam AgriTrade,네덜란드,ESS배터리,154500,USD,DAP,T/T 60,2026-03-30,완료,0
TRD-25342,2025-05-05,삼국간,물류솔루션,PT Nusantara Logam,인도네시아,해상운송,307300,USD,CFR,L/C at sight,2025-05-19,완료,0
TRD-25343,2025-01-18,수출,화학에너지,Lagos Agro Ltd,나이지리아,납사,522400,USD,DAP,T/T 60,2025-04-02,완료,0
TRD-25344,2025-09-19,수입,철강판재,Gulf Petro Chem,사우디,열연코일,67600,USD,CFR,L/C Usance 90,2026-01-01,완료,0
TRD-25345,2025-05-16,수입,차량소재,Shanghai Bright Intl,중국,전장부품,68700,USD,DAP,L/C at sight,2025-05-30,완료,0
TRD-25346,2025-03-05,수출,물류솔루션,Rotterdam AgriTrade,네덜란드,해상운송,185300,USD,FOB,L/C Usance 60,2025-05-18,완료,0
TRD-25347,2025-11-18,수출,물류솔루션,Al-Rashid Trading,UAE,복합운송,212900,USD,DAP,T/T 60,2026-01-31,연체,50
TRD-25348,2026-05-14,수출,차량소재,Mumbai Metal Corp,인도,샤시모듈,360400,USD,CFR,L/C Usance 60,2026-07-27,예정,0
TRD-25349,2025-11-09,삼국간,차량소재,Gulf Petro Chem,사우디,전장부품,213400,USD,CFR,T/T 30,2025-12-23,완료,0
TRD-25350,2025-06-09,수입,식량자원,Siam Power Ltd,태국,밀,214100,USD,FOB,L/C at sight,2025-06-23,완료,0
TRD-25351,2025-07-16,수출,차량소재,Chennai Trans Co,인도,전장부품,148000,USD,FOB,T/T 30,2025-08-29,완료,0
TRD-25352,2025-09-16,수출,화학에너지,Rotterdam AgriTrade,네덜란드,납사,75100,USD,CIF,L/C at sight,2025-09-30,완료,0
TRD-25353,2025-12-13,수출,식량자원,Dallas Solar Inc,미국,밀,302900,USD,FOB,L/C Usance 60,2026-02-25,완료,0
TRD-25354,2025-01-16,수출,식량자원,Cairo Grid Co,이집트,옥수수,127200,USD,CIF,L/C Usance 90,2025-04-30,완료,0
TRD-25355,2026-01-25,수출,식량자원,Gulf Petro Chem,사우디,옥수수,480900,USD,CFR,L/C Usance 90,2026-05-09,완료,0
TRD-25356,2025-12-17,수출,철강강관,Rotterdam AgriTrade,네덜란드,구조용강관,85600,USD,FOB,L/C Usance 60,2026-03-01,연체,46
TRD-25357,2026-03-18,수출,식량자원,Gulf Petro Chem,사우디,대두,230200,USD,CFR,L/C Usance 90,2026-06-30,완료,0
TRD-25358,2025-05-09,수출,그린에너지,Viet Thanh Steel,베트남,인버터,177800,USD,CIF,T/T 60,2025-07-22,완료,0
TRD-25359,2026-04-12,수출,그린에너지,Viet Thanh Steel,베트남,인버터,313300,USD,DAP,L/C Usance 60,2026-06-25,완료,0
TRD-25360,2026-04-15,수출,식량자원,Shanghai Bright Intl,중국,옥수수,333100,USD,FOB,T/T 60,2026-06-28,완료,0
TRD-25361,2025-07-20,수입,철강강관,Shanghai Bright Intl,중국,구조용강관,419800,USD,FOB,T/T 30,2025-09-02,완료,0
TRD-25362,2025-12-24,삼국간,차량소재,Cairo Grid Co,이집트,전장부품,194500,USD,FOB,L/C Usance 90,2026-04-07,연체,74
TRD-25363,2025-07-20,수출,차량소재,PT Nusantara Logam,인도네시아,전장부품,454900,USD,FOB,T/T 60,2025-10-02,완료,0
TRD-25364,2025-12-12,수출,전력플랜트,Hanoi AutoParts,베트남,몰드변압기,267800,USD,DAP,L/C Usance 60,2026-02-24,완료,0
TRD-25365,2025-01-29,수출,철강판재,Dallas Solar Inc,미국,열연코일,570800,USD,CFR,L/C Usance 90,2025-05-13,완료,0
TRD-25366,2025-03-24,수출,물류솔루션,Viet Thanh Steel,베트남,해상운송,137600,USD,CFR,T/T 30,2025-05-07,완료,0
TRD-25367,2025-04-13,수입,그린에너지,Cairo Grid Co,이집트,태양광모듈,109500,USD,CFR,L/C Usance 90,2025-07-26,완료,0
TRD-25368,2025-06-24,수출,물류솔루션,Nagoya Parts Co,일본,복합운송,288800,USD,CFR,T/T 30,2025-08-07,완료,0
TRD-25369,2025-10-09,수출,철강판재,Lagos Agro Ltd,나이지리아,아연도금강판,400100,USD,FOB,L/C Usance 60,2025-12-22,완료,0
TRD-25370,2025-06-08,수입,물류솔루션,Mumbai Metal Corp,인도,해상운송,58100,USD,CFR,T/T 60,2025-08-21,완료,0
TRD-25371,2025-08-09,수입,차량소재,Cairo Grid Co,이집트,차체부품,543200,USD,FOB,T/T 60,2025-10-22,완료,0
TRD-25372,2025-12-15,수입,물류솔루션,PT Nusantara Logam,인도네시아,해상운송,56400,USD,FOB,L/C at sight,2025-12-29,완료,0
TRD-25373,2026-01-19,수출,그린에너지,Siam Power Ltd,태국,인버터,71000,USD,CIF,T/T 60,2026-04-03,완료,0
TRD-25374,2025-09-16,수출,차량소재,Chennai Trans Co,인도,샤시모듈,227800,USD,FOB,L/C Usance 60,2025-11-29,완료,0
TRD-25375,2025-02-25,수입,전력플랜트,Viet Thanh Steel,베트남,몰드변압기,191100,USD,CFR,T/T 30,2025-04-10,완료,0
TRD-25376,2026-06-05,수출,철강판재,Siam Power Ltd,태국,아연도금강판,99500,USD,DAP,L/C Usance 90,2026-09-17,예정,0
TRD-25377,2026-01-10,수출,전력플랜트,Emirates Steel Est.,UAE,배전변압기,158000,USD,FOB,L/C Usance 90,2026-04-24,완료,0
TRD-25378,2025-05-29,수출,그린에너지,Viet Thanh Steel,베트남,태양광모듈,117900,USD,CIF,L/C Usance 60,2025-08-11,완료,0
TRD-25379,2025-05-09,수입,철강판재,Rotterdam AgriTrade,네덜란드,아연도금강판,229600,USD,CIF,L/C Usance 90,2025-08-21,완료,0
TRD-25380,2026-04-30,수입,전력플랜트,Mumbai Metal Corp,인도,배전변압기,134800,USD,CFR,L/C at sight,2026-05-14,완료,0
TRD-25381,2025-12-30,수출,화학에너지,Viet Thanh Steel,베트남,윤활기유,187600,USD,DAP,L/C Usance 60,2026-03-14,연체,49
